region,DateRep,Cases,Deaths,population
FVI,2020-01-28T00:00:00Z,0,0,698912
GFL,2020-01-28T00:00:00Z,0,0,1189947
GOE,2020-01-28T00:00:00Z,0,0,792895
MOS,2020-01-28T00:00:00Z,0,0,916252
PNN,2020-01-28T00:00:00Z,0,0,1400128
SC,2020-01-28T00:00:00Z,0,0,7252502
SUL,2020-01-28T00:00:00Z,0,0,999701
AVI,2020-01-29T00:00:00Z,0,0,1077659
FVI,2020-01-29T00:00:00Z,0,0,698912
GFL,2020-01-29T00:00:00Z,0,0,1189947
GOE,2020-01-29T00:00:00Z,0,0,792895
MOS,2020-01-29T00:00:00Z,0,0,916252
PNN,2020-01-29T00:00:00Z,0,0,1400128
SC,2020-01-29T00:00:00Z,0,0,7252502
SUL,2020-01-29T00:00:00Z,0,0,999701
AVI,2020-01-30T00:00:00Z,0,0,1077659
FVI,2020-01-30T00:00:00Z,0,0,698912
GFL,2020-01-30T00:00:00Z,0,0,1189947
GOE,2020-01-30T00:00:00Z,0,0,792895
MOS,2020-01-30T00:00:00Z,0,0,916252
PNN,2020-01-30T00:00:00Z,0,0,1400128
SC,2020-01-30T00:00:00Z,0,0,7252502
SUL,2020-01-30T00:00:00Z,0,0,999701
AVI,2020-01-31T00:00:00Z,0,0,1077659
FVI,2020-01-31T00:00:00Z,0,0,698912
GFL,2020-01-31T00:00:00Z,0,0,1189947
GOE,2020-01-31T00:00:00Z,0,0,792895
MOS,2020-01-31T00:00:00Z,0,0,916252
PNN,2020-01-31T00:00:00Z,0,0,1400128
SC,2020-01-31T00:00:00Z,0,0,7252502
SUL,2020-01-31T00:00:00Z,0,0,999701
AVI,2020-02-01T00:00:00Z,0,0,1077659
FVI,2020-02-01T00:00:00Z,0,0,698912
GFL,2020-02-01T00:00:00Z,0,0,1189947
GOE,2020-02-01T00:00:00Z,0,0,792895
MOS,2020-02-01T00:00:00Z,0,0,916252
PNN,2020-02-01T00:00:00Z,0,0,1400128
SC,2020-02-01T00:00:00Z,0,0,7252502
SUL,2020-02-01T00:00:00Z,0,0,999701
AVI,2020-02-02T00:00:00Z,0,0,1077659
FVI,2020-02-02T00:00:00Z,0,0,698912
GFL,2020-02-02T00:00:00Z,0,0,1189947
GOE,2020-02-02T00:00:00Z,0,0,792895
MOS,2020-02-02T00:00:00Z,0,0,916252
PNN,2020-02-02T00:00:00Z,0,0,1400128
SC,2020-02-02T00:00:00Z,0,0,7252502
SUL,2020-02-02T00:00:00Z,0,0,999701
AVI,2020-02-03T00:00:00Z,0,0,1077659
FVI,2020-02-03T00:00:00Z,0,0,698912
GFL,2020-02-03T00:00:00Z,0,0,1189947
GOE,2020-02-03T00:00:00Z,0,0,792895
MOS,2020-02-03T00:00:00Z,0,0,916252
PNN,2020-02-03T00:00:00Z,0,0,1400128
SC,2020-02-03T00:00:00Z,0,0,7252502
SUL,2020-02-03T00:00:00Z,0,0,999701
AVI,2020-02-04T00:00:00Z,0,0,1077659
FVI,2020-02-04T00:00:00Z,0,0,698912
GFL,2020-02-04T00:00:00Z,0,0,1189947
GOE,2020-02-04T00:00:00Z,0,0,792895
MOS,2020-02-04T00:00:00Z,0,0,916252
PNN,2020-02-04T00:00:00Z,0,0,1400128
SC,2020-02-04T00:00:00Z,0,0,7252502
SUL,2020-02-04T00:00:00Z,0,0,999701
AVI,2020-02-05T00:00:00Z,0,0,1077659
FVI,2020-02-05T00:00:00Z,0,0,698912
GFL,2020-02-05T00:00:00Z,0,0,1189947
GOE,2020-02-05T00:00:00Z,0,0,792895
MOS,2020-02-05T00:00:00Z,0,0,916252
PNN,2020-02-05T00:00:00Z,0,0,1400128
SC,2020-02-05T00:00:00Z,0,0,7252502
SUL,2020-02-05T00:00:00Z,0,0,999701
AVI,2020-02-06T00:00:00Z,0,0,1077659
FVI,2020-02-06T00:00:00Z,0,0,698912
GFL,2020-02-06T00:00:00Z,0,0,1189947
GOE,2020-02-06T00:00:00Z,0,0,792895
MOS,2020-02-06T00:00:00Z,0,0,916252
PNN,2020-02-06T00:00:00Z,0,0,1400128
SC,2020-02-06T00:00:00Z,0,0,7252502
SUL,2020-02-06T00:00:00Z,0,0,999701
AVI,2020-02-07T00:00:00Z,0,0,1077659
FVI,2020-02-07T00:00:00Z,0,0,698912
GFL,2020-02-07T00:00:00Z,0,0,1189947
GOE,2020-02-07T00:00:00Z,0,0,792895
MOS,2020-02-07T00:00:00Z,0,0,916252
PNN,2020-02-07T00:00:00Z,0,0,1400128
SC,2020-02-07T00:00:00Z,0,0,7252502
SUL,2020-02-07T00:00:00Z,0,0,999701
AVI,2020-02-08T00:00:00Z,0,0,1077659
FVI,2020-02-08T00:00:00Z,0,0,698912
GFL,2020-02-08T00:00:00Z,0,0,1189947
GOE,2020-02-08T00:00:00Z,0,0,792895
MOS,2020-02-08T00:00:00Z,0,0,916252
PNN,2020-02-08T00:00:00Z,0,0,1400128
SC,2020-02-08T00:00:00Z,0,0,7252502
SUL,2020-02-08T00:00:00Z,0,0,999701
AVI,2020-02-09T00:00:00Z,0,0,1077659
FVI,2020-02-09T00:00:00Z,0,0,698912
GFL,2020-02-09T00:00:00Z,0,0,1189947
GOE,2020-02-09T00:00:00Z,0,0,792895
MOS,2020-02-09T00:00:00Z,0,0,916252
PNN,2020-02-09T00:00:00Z,0,0,1400128
SC,2020-02-09T00:00:00Z,0,0,7252502
SUL,2020-02-09T00:00:00Z,0,0,999701
AVI,2020-02-10T00:00:00Z,0,0,1077659
FVI,2020-02-10T00:00:00Z,0,0,698912
GFL,2020-02-10T00:00:00Z,0,0,1189947
GOE,2020-02-10T00:00:00Z,0,0,792895
MOS,2020-02-10T00:00:00Z,0,0,916252
PNN,2020-02-10T00:00:00Z,0,0,1400128
SC,2020-02-10T00:00:00Z,0,0,7252502
SUL,2020-02-10T00:00:00Z,0,0,999701
AVI,2020-02-11T00:00:00Z,0,0,1077659
FVI,2020-02-11T00:00:00Z,0,0,698912
GFL,2020-02-11T00:00:00Z,0,0,1189947
GOE,2020-02-11T00:00:00Z,0,0,792895
MOS,2020-02-11T00:00:00Z,0,0,916252
PNN,2020-02-11T00:00:00Z,0,0,1400128
SC,2020-02-11T00:00:00Z,0,0,7252502
SUL,2020-02-11T00:00:00Z,0,0,999701
AVI,2020-02-12T00:00:00Z,0,0,1077659
FVI,2020-02-12T00:00:00Z,0,0,698912
GFL,2020-02-12T00:00:00Z,0,0,1189947
GOE,2020-02-12T00:00:00Z,0,0,792895
MOS,2020-02-12T00:00:00Z,0,0,916252
PNN,2020-02-12T00:00:00Z,0,0,1400128
SC,2020-02-12T00:00:00Z,0,0,7252502
SUL,2020-02-12T00:00:00Z,0,0,999701
AVI,2020-02-13T00:00:00Z,0,0,1077659
FVI,2020-02-13T00:00:00Z,0,0,698912
GFL,2020-02-13T00:00:00Z,0,0,1189947
GOE,2020-02-13T00:00:00Z,0,0,792895
MOS,2020-02-13T00:00:00Z,0,0,916252
PNN,2020-02-13T00:00:00Z,0,0,1400128
SC,2020-02-13T00:00:00Z,0,0,7252502
SUL,2020-02-13T00:00:00Z,0,0,999701
AVI,2020-02-14T00:00:00Z,0,0,1077659
FVI,2020-02-14T00:00:00Z,0,0,698912
GFL,2020-02-14T00:00:00Z,0,0,1189947
GOE,2020-02-14T00:00:00Z,0,0,792895
MOS,2020-02-14T00:00:00Z,0,0,916252
PNN,2020-02-14T00:00:00Z,0,0,1400128
SC,2020-02-14T00:00:00Z,0,0,7252502
SUL,2020-02-14T00:00:00Z,0,0,999701
AVI,2020-02-15T00:00:00Z,0,0,1077659
FVI,2020-02-15T00:00:00Z,0,0,698912
GFL,2020-02-15T00:00:00Z,0,0,1189947
GOE,2020-02-15T00:00:00Z,0,0,792895
MOS,2020-02-15T00:00:00Z,0,0,916252
PNN,2020-02-15T00:00:00Z,0,0,1400128
SC,2020-02-15T00:00:00Z,0,0,7252502
SUL,2020-02-15T00:00:00Z,0,0,999701
AVI,2020-02-16T00:00:00Z,0,0,1077659
FVI,2020-02-16T00:00:00Z,0,0,698912
GFL,2020-02-16T00:00:00Z,0,0,1189947
GOE,2020-02-16T00:00:00Z,0,0,792895
MOS,2020-02-16T00:00:00Z,0,0,916252
PNN,2020-02-16T00:00:00Z,0,0,1400128
SC,2020-02-16T00:00:00Z,0,0,7252502
SUL,2020-02-16T00:00:00Z,0,0,999701
AVI,2020-02-17T00:00:00Z,0,0,1077659
FVI,2020-02-17T00:00:00Z,0,0,698912
GFL,2020-02-17T00:00:00Z,0,0,1189947
GOE,2020-02-17T00:00:00Z,0,0,792895
MOS,2020-02-17T00:00:00Z,0,0,916252
PNN,2020-02-17T00:00:00Z,0,0,1400128
SC,2020-02-17T00:00:00Z,0,0,7252502
SUL,2020-02-17T00:00:00Z,0,0,999701
AVI,2020-02-18T00:00:00Z,0,0,1077659
FVI,2020-02-18T00:00:00Z,0,0,698912
GFL,2020-02-18T00:00:00Z,0,0,1189947
GOE,2020-02-18T00:00:00Z,0,0,792895
MOS,2020-02-18T00:00:00Z,0,0,916252
PNN,2020-02-18T00:00:00Z,0,0,1400128
SC,2020-02-18T00:00:00Z,0,0,7252502
SUL,2020-02-18T00:00:00Z,0,0,999701
AVI,2020-02-19T00:00:00Z,0,0,1077659
FVI,2020-02-19T00:00:00Z,0,0,698912
GFL,2020-02-19T00:00:00Z,0,0,1189947
GOE,2020-02-19T00:00:00Z,0,0,792895
MOS,2020-02-19T00:00:00Z,0,0,916252
PNN,2020-02-19T00:00:00Z,0,0,1400128
SC,2020-02-19T00:00:00Z,0,0,7252502
SUL,2020-02-19T00:00:00Z,0,0,999701
AVI,2020-02-20T00:00:00Z,0,0,1077659
FVI,2020-02-20T00:00:00Z,0,0,698912
GFL,2020-02-20T00:00:00Z,0,0,1189947
GOE,2020-02-20T00:00:00Z,0,0,792895
MOS,2020-02-20T00:00:00Z,0,0,916252
PNN,2020-02-20T00:00:00Z,0,0,1400128
SC,2020-02-20T00:00:00Z,0,0,7252502
SUL,2020-02-20T00:00:00Z,0,0,999701
AVI,2020-02-21T00:00:00Z,0,0,1077659
FVI,2020-02-21T00:00:00Z,0,0,698912
GFL,2020-02-21T00:00:00Z,0,0,1189947
GOE,2020-02-21T00:00:00Z,0,0,792895
MOS,2020-02-21T00:00:00Z,0,0,916252
PNN,2020-02-21T00:00:00Z,0,0,1400128
SC,2020-02-21T00:00:00Z,0,0,7252502
SUL,2020-02-21T00:00:00Z,0,0,999701
AVI,2020-02-22T00:00:00Z,0,0,1077659
FVI,2020-02-22T00:00:00Z,0,0,698912
GFL,2020-02-22T00:00:00Z,0,0,1189947
GOE,2020-02-22T00:00:00Z,0,0,792895
MOS,2020-02-22T00:00:00Z,0,0,916252
PNN,2020-02-22T00:00:00Z,0,0,1400128
SC,2020-02-22T00:00:00Z,0,0,7252502
SUL,2020-02-22T00:00:00Z,0,0,999701
AVI,2020-02-23T00:00:00Z,0,0,1077659
FVI,2020-02-23T00:00:00Z,0,0,698912
GFL,2020-02-23T00:00:00Z,0,0,1189947
GOE,2020-02-23T00:00:00Z,0,0,792895
MOS,2020-02-23T00:00:00Z,0,0,916252
PNN,2020-02-23T00:00:00Z,0,0,1400128
SC,2020-02-23T00:00:00Z,0,0,7252502
SUL,2020-02-23T00:00:00Z,0,0,999701
AVI,2020-02-24T00:00:00Z,0,0,1077659
FVI,2020-02-24T00:00:00Z,0,0,698912
GFL,2020-02-24T00:00:00Z,0,0,1189947
GOE,2020-02-24T00:00:00Z,0,0,792895
MOS,2020-02-24T00:00:00Z,0,0,916252
PNN,2020-02-24T00:00:00Z,0,0,1400128
SC,2020-02-24T00:00:00Z,0,0,7252502
SUL,2020-02-24T00:00:00Z,0,0,999701
AVI,2020-02-25T00:00:00Z,0,0,1077659
AVI,2020-02-25T03:00:00Z,0,0,1077659
FVI,2020-02-25T00:00:00Z,0,0,698912
FVI,2020-02-25T03:00:00Z,0,0,698912
GFL,2020-02-25T03:00:00Z,0,0,1189947
GFL,2020-02-25T00:00:00Z,0,0,1189947
GOE,2020-02-25T00:00:00Z,0,0,792895
GOE,2020-02-25T03:00:00Z,0,0,792895
MOS,2020-02-25T00:00:00Z,0,0,916252
MOS,2020-02-25T03:00:00Z,1,0,916252
PNN,2020-02-25T03:00:00Z,0,0,1400128
PNN,2020-02-25T00:00:00Z,0,0,1400128
SC,2020-02-25T00:00:00Z,0,0,7252502
SC,2020-02-25T03:00:00Z,1,0,7252502
SUL,2020-02-25T00:00:00Z,0,0,999701
SUL,2020-02-25T03:00:00Z,0,0,999701
AVI,2020-02-26T03:00:00Z,0,0,1077659
FVI,2020-02-26T03:00:00Z,0,0,698912
GFL,2020-02-26T03:00:00Z,0,0,1189947
GOE,2020-02-26T03:00:00Z,0,0,792895
MOS,2020-02-26T03:00:00Z,0,0,916252
PNN,2020-02-26T03:00:00Z,0,0,1400128
SC,2020-02-26T03:00:00Z,0,0,7252502
SUL,2020-02-26T03:00:00Z,0,0,999701
AVI,2020-02-27T03:00:00Z,0,0,1077659
FVI,2020-02-27T03:00:00Z,1,0,698912
GFL,2020-02-27T03:00:00Z,0,0,1189947
GOE,2020-02-27T03:00:00Z,0,0,792895
MOS,2020-02-27T03:00:00Z,0,0,916252
PNN,2020-02-27T03:00:00Z,0,0,1400128
SC,2020-02-27T03:00:00Z,1,0,7252502
SUL,2020-02-27T03:00:00Z,0,0,999701
AVI,2020-02-28T03:00:00Z,0,0,1077659
FVI,2020-02-28T03:00:00Z,2,0,698912
GFL,2020-02-28T03:00:00Z,0,0,1189947
GOE,2020-02-28T03:00:00Z,0,0,792895
MOS,2020-02-28T03:00:00Z,1,0,916252
PNN,2020-02-28T03:00:00Z,0,0,1400128
SC,2020-02-28T03:00:00Z,5,0,7252502
SUL,2020-02-28T03:00:00Z,2,0,999701
AVI,2020-02-29T03:00:00Z,0,0,1077659
FVI,2020-02-29T03:00:00Z,0,0,698912
GFL,2020-02-29T03:00:00Z,0,0,1189947
GOE,2020-02-29T03:00:00Z,0,0,792895
MOS,2020-02-29T03:00:00Z,0,0,916252
PNN,2020-02-29T03:00:00Z,0,0,1400128
SC,2020-02-29T03:00:00Z,0,0,7252502
SUL,2020-02-29T03:00:00Z,0,0,999701
AVI,2020-03-01T03:00:00Z,1,0,1077659
FVI,2020-03-01T03:00:00Z,0,0,698912
GFL,2020-03-01T03:00:00Z,0,0,1189947
GOE,2020-03-01T03:00:00Z,1,0,792895
MOS,2020-03-01T03:00:00Z,3,0,916252
PNN,2020-03-01T03:00:00Z,3,0,1400128
SC,2020-03-01T03:00:00Z,10,0,7252502
SUL,2020-03-01T03:00:00Z,2,0,999701
AVI,2020-03-02T03:00:00Z,0,0,1077659
FVI,2020-03-02T03:00:00Z,0,0,698912
GFL,2020-03-02T03:00:00Z,0,0,1189947
GOE,2020-03-02T03:00:00Z,0,0,792895
MOS,2020-03-02T03:00:00Z,1,0,916252
PNN,2020-03-02T03:00:00Z,0,0,1400128
SC,2020-03-02T03:00:00Z,2,0,7252502
SUL,2020-03-02T03:00:00Z,1,0,999701
AVI,2020-03-03T03:00:00Z,1,0,1077659
FVI,2020-03-03T03:00:00Z,1,0,698912
GFL,2020-03-03T03:00:00Z,0,0,1189947
GOE,2020-03-03T03:00:00Z,0,0,792895
MOS,2020-03-03T03:00:00Z,0,0,916252
PNN,2020-03-03T03:00:00Z,2,0,1400128
SC,2020-03-03T03:00:00Z,4,0,7252502
SUL,2020-03-03T03:00:00Z,0,0,999701
AVI,2020-03-04T03:00:00Z,0,0,1077659
FVI,2020-03-04T03:00:00Z,0,0,698912
GFL,2020-03-04T03:00:00Z,1,0,1189947
GOE,2020-03-04T03:00:00Z,0,0,792895
MOS,2020-03-04T03:00:00Z,0,0,916252
PNN,2020-03-04T03:00:00Z,0,0,1400128
SC,2020-03-04T03:00:00Z,1,0,7252502
SUL,2020-03-04T03:00:00Z,0,0,999701
AVI,2020-03-05T03:00:00Z,2,0,1077659
FVI,2020-03-05T03:00:00Z,1,0,698912
GFL,2020-03-05T03:00:00Z,2,0,1189947
GOE,2020-03-05T03:00:00Z,0,0,792895
MOS,2020-03-05T03:00:00Z,0,0,916252
PNN,2020-03-05T03:00:00Z,0,0,1400128
SC,2020-03-05T03:00:00Z,5,0,7252502
SUL,2020-03-05T03:00:00Z,0,0,999701
AVI,2020-03-06T03:00:00Z,0,0,1077659
